year,track_id,track_name,artist_name,album_name,plays,total_minutes,skip_rate,shuffle_rate,has_features
2021,0x47zt71IYykbt1ET933pJ,Hiding tonight,Alex Turner,Submarine - Original Songs From The Film By Alex Turner,43,107.25,0.2791,0.0,True
2021,3jp7Ryj1sX3riA7NQaVlLd,Whistle For The Choir,The Fratellis,Costello Music,43,93.92,0.3488,0.0,True
2021,3labT48xWDOOR5dWUUPCkk,Caught Me Thinkin,Bahamas,Barchords,42,48.67,0.5952,0.0,True
2021,5Ss6DqCldgTmIo6BekVOJT,You Say I'm in Love,Banes World,You Say I'm in Love,42,42.62,0.5952,0.0,True
2021,6dtPJwNdLuyVGPWyHOI6GP,It's Only Sex,Car Seat Headrest,Living While Starving,41,56.09,0.4878,0.0244,True
2021,1UsXMQwIzCKSk6oIdRE5Jc,Veins,Palace,Veins,40,59.53,0.5,0.0,True
2021,1o6DclZHw0HomxXEQR1ijX,Rock & Roll - Full Length Version; 2015 Remaster,The Velvet Underground,Loaded: Re-Loaded 45th Anniversary Edition,40,84.89,0.425,0.0,True
2021,1KlDcHrlDPUJJPmMup3tUp,5 Years Time,Noah And The Whale,"Peaceful, The World Lays Me Down",39,63.88,0.5128,0.0,True
2021,1W0OCrMsRP1SLTEdw3JwEz,"Sweet Dreams, TN",The Last Shadow Puppets,Everything You've Come To Expect,39,65.08,0.4615,0.0,True
2021,4D2rEIyYw0meeh8AOXqfxK,Honey Sweet,Blossoms,Blossoms,39,49.75,0.5641,0.0,True
2021,6cUcoLNlWP05KpaJXaXG7g,Sex Tourists,French Kicks,Swimming,39,53.88,0.5641,0.0,True
2021,1bKQdPJ9lid6Yg26HAx8Tf,"Lights Out, Words Gone",Bombay Bicycle Club,A Different Kind Of Fix,38,80.12,0.5526,0.0,True
2021,2GiJYvgVaD2HtM8GqD9EgQ,Electric Love,BØRNS,Dopamine,37,63.06,0.4865,0.0,True
2021,2lwwrWVKdf3LR9lbbhnr6R,Float On,Modest Mouse,Good News For People Who Love Bad News,37,34.15,0.6486,0.0,True
2021,2rphAUoua7y2GNpjnoXWlG,Gotta Cheer Up,Cotton Jones,Paranoid Cocoon,37,58.8,0.3784,0.0,True
2021,3HdcqQpq7zb5GbEKBDY34p,Humbug Mountain Song,Fruit Bats,Absolute Loser,37,38.19,0.6216,0.0,True
2021,414J8tKHbtF16XOiHGBEso,Tezeta (Nostalgia),Mulatu Astatke,"Ethiopiques, Vol. 4: Ethio Jazz 1969-1974",37,51.93,0.7027,0.0,True
2021,4HOg84QsolNLzNp08qZ3sX,didya think,Arlie,Wait,37,41.57,0.6216,0.0,True
2021,1Y8L4hT9CDJH6ROK2XGxgO,On the Beach - 2016 Remaster,Neil Young,On the Beach,36,70.45,0.6111,0.0,True
2021,6ZoXt2on0ub2ORSTWnJCjs,Circles,Durand Jones & The Indications,American Love Call,36,52.65,0.5278,0.0,True
2021,7hm4HTk9encxT0LYC0J6oI,Someday,The Strokes,Is This It,36,53.98,0.4167,0.0,True
2021,1XYX4JnSULbKGCi5uSjeJy,It's hard to get around the wind,Alex Turner,Submarine - Original Songs From The Film By Alex Turner,35,80.05,0.3143,0.0,True
2021,4mpAm83XX1iS63l8wmkEC6,Spread Your Love,Black Rebel Motorcycle Club,B.R.M.C.,35,36.05,0.6,0.0,True
2021,5KkoM9rbevlWf8EePOrwfS,Drinking Song,Haley Heynderickx,I Need to Start a Garden,35,52.45,0.4286,0.0,True
2021,6IY3cC281mz9q0bViUEldz,It's A Trip!,Joywave,Content,35,34.1,0.5429,0.0,True
2021,71cUqXJ3h1r0Ees6YdENLU,Coffee,Sylvan Esso,Sylvan Esso,35,66.33,0.4571,0.0,True
2021,207qLd1ovrqfYVBBDrNMUM,Dance This Mess Around,The B-52's,The B-52's,34,81.32,0.3235,0.0,True
2021,3SUusuA9jH1v6PVwtYMbdv,Last Nite,The Strokes,Is This It,34,38.49,0.5882,0.0,True
