track_id,track_name,artist_name,album_name,genre,popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence,tempo,key,mode,loudness,time_signature,total_plays,total_minutes,avg_skip_rate,years_active
3AgrcbfCREzW0kGFUNJnqW,Rocky's Late Night,Albert Hammond Jr,Francis Trouble,Blues,45,0.0538,0.619,0.672,0.0699,0.0518,0.0385,0.805,94.998,C,Minor,-6.429,4/4,38,71.9,0.474,[2022]
1bKQdPJ9lid6Yg26HAx8Tf,"Lights Out, Words Gone",Bombay Bicycle Club,A Different Kind Of Fix,Indie,57,0.577,0.649,0.76,0.332,0.107,0.0298,0.654,106.002,G#,Major,-7.275,4/4,38,80.1,0.553,[2021]
1F9WFVKQ0PT4EiZNoZQu2d,Sensitivity,Worn-Tin,Thanatophobia,Rock,49,0.0358,0.705,0.529,0.00338,0.42,0.029,0.931,110.207,E,Major,-6.585,4/4,38,79.4,0.395,[2018]
7FwBtcecmlpc1sLySPXeGE,Dancing In the Dark,Bruce Springsteen,Born In The U.S.A.,Rock,75,0.0115,0.527,0.942,0.0,0.188,0.0366,0.495,148.723,C#,Minor,-5.64,4/4,38,106.7,0.329,"[2024, 2025, 2026]"
78krcD2vFUXJ3Y0XXeiHWH,Sinister Kid,The Black Keys,Brothers,Rock,54,0.133,0.761,0.828,0.0858,0.348,0.0721,0.935,139.616,A,Major,-7.259,4/4,37,67.2,0.405,[2023]
2rphAUoua7y2GNpjnoXWlG,Gotta Cheer Up,Cotton Jones,Paranoid Cocoon,Folk,56,0.397,0.523,0.631,0.000163,0.123,0.0262,0.715,105.096,D,Minor,-7.494,4/4,37,58.8,0.378,[2021]
414J8tKHbtF16XOiHGBEso,Tezeta (Nostalgia),Mulatu Astatke,"Ethiopiques, Vol. 4: Ethio Jazz 1969-1974",World,54,0.954,0.546,0.355,0.92,0.0891,0.0368,0.5,81.054,F,Minor,-10.199,3/4,37,51.9,0.703,[2021]
3HdcqQpq7zb5GbEKBDY34p,Humbug Mountain Song,Fruit Bats,Absolute Loser,Rock,63,0.0355,0.593,0.926,0.0582,0.311,0.0319,0.945,100.011,F#,Minor,-5.361,4/4,37,38.2,0.622,[2021]
4BD3sl4HjTAzWGVIP8LLm4,I Wanna C U,Blood Orange,Angel's Pulse,Alternative,59,0.715,0.793,0.304,0.181,0.114,0.0442,0.72,99.773,C,Minor,-12.191,4/4,37,14.8,0.703,[2023]
4HOg84QsolNLzNp08qZ3sX,didya think,Arlie,Wait,Rock,55,0.00415,0.468,0.89,1.21e-05,0.508,0.0701,0.709,140.265,E,Major,-2.974,4/4,37,41.6,0.622,[2021]
4JpazKcfOhbwqZrsYhzHee,Jackie and Wilson,Hozier,Hozier (Expanded Edition),Folk,67,0.0579,0.555,0.727,7.52e-06,0.0937,0.0388,0.739,82.142,F#,Major,-4.202,4/4,37,95.2,0.248,"[2023, 2024, 2025]"
6ZoXt2on0ub2ORSTWnJCjs,Circles,Durand Jones & The Indications,American Love Call,Soul,45,0.254,0.527,0.556,1.51e-05,0.225,0.0604,0.933,205.693,E,Minor,-5.158,4/4,36,52.6,0.528,[2021]
1Y8L4hT9CDJH6ROK2XGxgO,On the Beach - 2016 Remaster,Neil Young,On the Beach,Rock,56,0.566,0.683,0.311,0.0372,0.113,0.0343,0.404,116.958,A,Minor,-13.54,4/4,36,70.4,0.611,[2021]
415dK4glwDO7fXxYg3np8B,Pictures of Girls,Wallows,Spring EP,Children’s Music,65,0.000248,0.443,0.819,0.00759,0.0802,0.0322,0.494,154.958,F#,Major,-5.502,4/4,36,82.6,0.281,"[2024, 2025]"
14g6foD6sxO1qgkDKuPgWv,Swingin Party - 2008 Remaster,The Replacements,Tim,Dance,55,0.0224,0.647,0.69,0.0,0.147,0.0454,0.682,117.514,F#,Minor,-8.657,4/4,35,48.7,0.629,[2022]
71cUqXJ3h1r0Ees6YdENLU,Coffee,Sylvan Esso,Sylvan Esso,Pop,61,0.348,0.457,0.455,0.00122,0.142,0.188,0.163,100.049,C,Major,-8.112,4/4,35,66.3,0.457,[2021]
6IY3cC281mz9q0bViUEldz,It's A Trip!,Joywave,Content,Indie,65,0.114,0.679,0.71,0.00322,0.255,0.0321,0.685,97.99,G#,Minor,-5.009,4/4,35,34.1,0.543,[2021]
4mpAm83XX1iS63l8wmkEC6,Spread Your Love,Black Rebel Motorcycle Club,B.R.M.C.,Indie,59,0.00987,0.415,0.901,0.361,0.136,0.0428,0.424,128.216,D,Major,-3.124,4/4,35,36.0,0.6,[2021]
0Xn1VqBjoL4PAGxyatEO0Z,Gotas De Agua Dulce,Juanes,La Vida Es Un Ratico,Dance,60,0.0204,0.681,0.859,0.0,0.131,0.0294,0.94,153.889,C#,Minor,-3.457,4/4,35,70.0,0.314,[2022]
1XYX4JnSULbKGCi5uSjeJy,It's hard to get around the wind,Alex Turner,Submarine - Original Songs From The Film By Alex Turner,Indie,46,0.87,0.436,0.244,0.000371,0.102,0.0339,0.359,145.42,C,Major,-19.096,4/4,35,80.0,0.314,[2021]
1pHP4JeQV9wDx87D6qH9hD,Here It Goes Again,OK Go,Oh No,Pop,63,0.000342,0.537,0.882,9.06e-05,0.12,0.0403,0.81,145.729,C,Major,-2.306,4/4,34,17.7,0.798,"[2022, 2024]"
6ikh8e4YxgOlb11LWUaBp4,The Keys,Matt Duncan,Soft Times,Soul,51,0.511,0.782,0.478,0.0117,0.131,0.0671,0.693,94.997,C,Major,-11.132,4/4,34,67.6,0.324,[2022]
3hJLKtTpgct9Y9wKww0BiR,Miss You - Remastered,The Rolling Stones,Some Girls,Rock,66,0.462,0.803,0.725,0.0137,0.46,0.0432,0.785,109.7,A,Minor,-4.726,4/4,34,62.1,0.5,[2021]
6qQGxKyy6LcyZVsWn93lyS,Pink Triangle,Weezer,Pinkerton,Rock,52,0.0118,0.282,0.894,0.0,0.347,0.0822,0.466,118.809,F#,Major,-4.834,4/4,34,28.6,0.676,[2021]
4riDfclV7kPDT9D58FpmHd,Some,Steve Lacy,Some,Hip-Hop,63,0.00548,0.784,0.554,0.254,0.0995,0.03,0.634,104.01,G,Major,-6.417,4/4,33,42.4,0.284,"[2023, 2024]"
5dnvWWkwwFJoDDc0QoSbvf,Is It Any Wonder?,Durand Jones & The Indications,Durand Jones & The Indications,Soul,55,0.636,0.541,0.378,0.594,0.0899,0.0296,0.401,136.94,D,Minor,-6.283,4/4,33,50.7,0.636,[2021]
3stWWPN41byqp8loPdy92u,Master of None,Beach House,Beach House,Rock,61,0.674,0.492,0.344,0.531,0.0933,0.0259,0.247,86.485,F,Major,-15.259,4/4,33,51.8,0.515,[2021]
3TZwjdclvWt7iPJUnMpgcs,Jump Around,House Of Pain,House of Pain (Fine Malt Lyrics),Hip-Hop,75,0.0113,0.854,0.71,8.72e-05,0.166,0.0793,0.818,106.894,E,Minor,-6.32,4/4,33,55.7,0.364,[2021]
6jg5SRvdGxvJ0DzNV0UqEK,Please Don't Go,Mike Posner,31 Minutes to Takeoff,Pop,61,0.00296,0.699,0.882,0.0544,0.13,0.0311,0.657,120.016,E,Minor,-3.896,4/4,33,49.9,0.546,[2021]
62ZXL1CWLJDiDWUZUhfLfU,Dopamine,BØRNS,Dopamine,Rock,56,0.0155,0.551,0.813,5.82e-06,0.105,0.0621,0.568,97.556,F,Major,-4.25,4/4,33,57.6,0.424,[2021]
6Qb7gtV6Q4MnUjSbkFcopl,50 Ways to Leave Your Lover,Paul Simon,Still Crazy After All These Years,Folk,69,0.166,0.815,0.372,0.000116,0.0767,0.0752,0.293,101.684,G,Major,-12.814,4/4,33,49.3,0.476,"[2025, 2026]"
