master_metadata_track_name,master_metadata_album_artist_name,total_play_count,genre,energy,danceability,valence,tempo,acousticness,instrumentalness
Everlasting Light,The Black Keys,280,Blues,0.582,0.641,0.725,181.039,0.127,0.00632
Everlasting Light,The Black Keys,280,Children’s Music,0.582,0.641,0.725,181.039,0.127,0.00632
Everlasting Light,The Black Keys,280,Indie,0.582,0.641,0.725,181.039,0.127,0.00632
Everlasting Light,The Black Keys,280,Rock,0.582,0.641,0.725,181.039,0.127,0.00632
The World's First Ever Monster Truck Front Flip,Arctic Monkeys,275,Indie,0.601,0.602,0.553,145.075,0.346,0.349
The World's First Ever Monster Truck Front Flip,Arctic Monkeys,275,Rock,0.601,0.602,0.553,145.075,0.346,0.349
Clouds,BØRNS,266,Indie,0.478,0.644,0.496,159.898,0.194,0.00376
Clouds,BØRNS,266,Children’s Music,0.478,0.644,0.496,159.898,0.194,0.00376
Clouds,BØRNS,266,Pop,0.478,0.644,0.496,159.898,0.194,0.00376
Clouds,BØRNS,266,Rock,0.478,0.644,0.496,159.898,0.194,0.00376
Still Beating,Mac DeMarco,263,Indie,0.496,0.709,0.469,78.477,0.581,0.195
"Call It Fate, Call It Karma",The Strokes,263,Alternative,0.241,0.544,0.359,109.437,0.983,0.774
"Call It Fate, Call It Karma",The Strokes,263,Children’s Music,0.241,0.544,0.359,109.437,0.983,0.774
"Call It Fate, Call It Karma",The Strokes,263,Indie,0.241,0.544,0.359,109.437,0.983,0.774
"Call It Fate, Call It Karma",The Strokes,263,Rock,0.241,0.544,0.359,109.437,0.983,0.774
Black Memories,The Growlers,262,Indie,0.577,0.614,0.835,113.948,0.00625,0.0
Black Memories,The Growlers,262,Rock,0.577,0.614,0.835,113.948,0.00625,0.0
I'll Be Around,The Growlers,260,Indie,0.899,0.475,0.911,92.101,0.000833,1.1e-06
I'll Be Around,The Growlers,260,Rock,0.899,0.475,0.911,92.101,0.000833,1.1e-06
Selfless,The Strokes,259,,,,,,,
"Archie, Marry Me",Alvvays,259,Indie,0.83,0.27,0.205,117.314,0.00956,0.434
"Archie, Marry Me",Alvvays,259,Rock,0.83,0.27,0.205,117.314,0.00956,0.434
Why'd You Only Call Me When You're High?,Arctic Monkeys,256,Indie,0.631,0.691,0.8,92.004,0.0483,1.13e-05
Why'd You Only Call Me When You're High?,Arctic Monkeys,256,Rock,0.631,0.691,0.8,92.004,0.0483,1.13e-05
Brazil,Declan McKenna,255,Children’s Music,0.617,0.687,0.665,121.08,0.0941,1.32e-05
Brazil,Declan McKenna,255,Rock,0.617,0.687,0.665,121.08,0.0941,1.32e-05
Pressure To Party,Julia Jacklin,254,Folk,0.81,0.483,0.382,141.906,0.000124,4.79e-05
Pressure To Party,Julia Jacklin,254,Indie,0.81,0.483,0.382,141.906,0.000124,4.79e-05
Hard To Explain,The Strokes,249,Alternative,0.665,0.408,0.667,82.525,0.000456,0.863
Hard To Explain,The Strokes,249,Children’s Music,0.665,0.408,0.667,82.525,0.000456,0.863
Hard To Explain,The Strokes,249,Indie,0.665,0.408,0.667,82.525,0.000456,0.863
Hard To Explain,The Strokes,249,Rock,0.665,0.408,0.667,82.525,0.000456,0.863
Bad Decisions,The Strokes,248,,,,,,,
You Only Live Once,The Strokes,247,Alternative,0.908,0.63,0.968,120.522,0.0238,0.592
You Only Live Once,The Strokes,247,Children’s Music,0.908,0.63,0.968,120.522,0.0238,0.592
You Only Live Once,The Strokes,247,Indie,0.908,0.63,0.968,120.522,0.0238,0.592
You Only Live Once,The Strokes,247,Rock,0.908,0.63,0.968,120.522,0.0238,0.592
Soma,The Strokes,244,Alternative,0.706,0.499,0.483,148.931,0.0747,0.00289
Soma,The Strokes,244,Children’s Music,0.706,0.499,0.483,148.931,0.0747,0.00289
Soma,The Strokes,244,Indie,0.706,0.499,0.483,148.931,0.0747,0.00289
Soma,The Strokes,244,Rock,0.706,0.499,0.483,148.931,0.0747,0.00289
A Certain Romance,Arctic Monkeys,244,Indie,0.881,0.455,0.201,137.949,0.000566,6.06e-05
A Certain Romance,Arctic Monkeys,244,Rock,0.881,0.455,0.201,137.949,0.000566,6.06e-05
Like Real People Do,Hozier,243,Folk,0.179,0.539,0.145,140.01,0.921,0.393
Like Real People Do,Hozier,243,Pop,0.179,0.539,0.145,140.01,0.921,0.393
Coming Home,Leon Bridges,241,Blues,0.465,0.427,0.458,112.137,0.461,5.52e-05
Coming Home,Leon Bridges,241,Soul,0.465,0.427,0.458,112.137,0.461,5.52e-05
The Ultracheese,Arctic Monkeys,238,Indie,0.555,0.476,0.426,131.497,0.624,3.98e-05
The Ultracheese,Arctic Monkeys,238,Rock,0.555,0.476,0.426,131.497,0.624,3.98e-05
Reminiscing,The Buttertones,237,Indie,0.707,0.399,0.577,125.137,0.000591,0.201
Reminiscing,The Buttertones,237,Rock,0.707,0.399,0.577,125.137,0.000591,0.201
Is This It,The Strokes,236,Alternative,0.692,0.667,0.846,96.021,0.147,3.75e-05
Is This It,The Strokes,236,Indie,0.692,0.667,0.846,96.021,0.147,3.75e-05
Is This It,The Strokes,236,Children’s Music,0.692,0.667,0.846,96.021,0.147,3.75e-05
Is This It,The Strokes,236,Rock,0.692,0.667,0.846,96.021,0.147,3.75e-05
Shut Up Kiss Me,Angel Olsen,236,Alternative,0.63,0.373,0.352,115.942,0.0552,0.0
Shut Up Kiss Me,Angel Olsen,236,Folk,0.63,0.373,0.352,115.942,0.0552,0.0
Shut Up Kiss Me,Angel Olsen,236,Indie,0.63,0.373,0.352,115.942,0.0552,0.0
Shut Up Kiss Me,Angel Olsen,236,Children’s Music,0.63,0.373,0.352,115.942,0.0552,0.0
Shut Up Kiss Me,Angel Olsen,236,Pop,0.63,0.373,0.352,115.942,0.0552,0.0
Shut Up Kiss Me,Angel Olsen,236,Rock,0.63,0.373,0.352,115.942,0.0552,0.0
The Modern Age,The Strokes,233,Alternative,0.888,0.528,0.897,145.971,0.0116,0.762
The Modern Age,The Strokes,233,Children’s Music,0.888,0.528,0.897,145.971,0.0116,0.762
The Modern Age,The Strokes,233,Indie,0.888,0.528,0.897,145.971,0.0116,0.762
The Modern Age,The Strokes,233,Rock,0.888,0.528,0.897,145.971,0.0116,0.762
Beach Rats,The Growlers,232,Indie,0.655,0.409,0.608,75.266,0.844,0.395
Dixie Lane,French Cassettes,232,,,,,,,
City Kitty,French Cassettes,232,,,,,,,
505,Arctic Monkeys,231,Indie,0.852,0.52,0.234,140.267,0.00237,5.79e-05
505,Arctic Monkeys,231,Rock,0.852,0.52,0.234,140.267,0.00237,5.79e-05
Big Toe,The Growlers,231,Indie,0.766,0.51,0.727,132.169,0.0102,3.21e-05
Big Toe,The Growlers,231,Rock,0.766,0.51,0.727,132.169,0.0102,3.21e-05
Going Gets Tough,The Growlers,230,Indie,0.766,0.5,0.738,162.058,0.219,0.0
Going Gets Tough,The Growlers,230,Rock,0.766,0.5,0.738,162.058,0.219,0.0
R U Mine?,Arctic Monkeys,228,Indie,0.758,0.288,0.619,97.094,0.00616,0.0
R U Mine?,Arctic Monkeys,228,Rock,0.758,0.288,0.619,97.094,0.00616,0.0
Wandering eyes,The Growlers,225,,,,,,,
Barely Legal,The Strokes,224,Alternative,0.884,0.426,0.852,157.811,0.00326,0.0495
Barely Legal,The Strokes,224,Children’s Music,0.884,0.426,0.852,157.811,0.00326,0.0495
Barely Legal,The Strokes,224,Indie,0.884,0.426,0.852,157.811,0.00326,0.0495
Barely Legal,The Strokes,224,Rock,0.884,0.426,0.852,157.811,0.00326,0.0495
Mardy Bum,Arctic Monkeys,223,Indie,0.599,0.634,0.312,112.215,0.0288,0.0
Mardy Bum,Arctic Monkeys,223,Rock,0.599,0.634,0.312,112.215,0.0288,0.0
The Adults Are Talking,The Strokes,221,,,,,,,
Tranquility Base Hotel & Casino,Arctic Monkeys,221,Indie,0.835,0.584,0.781,142.2,0.0411,0.0147
Tranquility Base Hotel & Casino,Arctic Monkeys,221,Rock,0.835,0.584,0.781,142.2,0.0411,0.0147
Kubes,machinegum,219,,,,,,,
Stuck on the puzzle,Alex Turner,219,Indie,0.682,0.58,0.774,77.53,0.0792,0.0316
Stuck on the puzzle,Alex Turner,219,Rock,0.682,0.58,0.774,77.53,0.0792,0.0316
Rare Hearts,The Growlers,218,Indie,0.652,0.601,0.61,120.498,0.026,0.0589
Rare Hearts,The Growlers,218,Rock,0.652,0.601,0.61,120.498,0.026,0.0589
Days,The Drums,217,Alternative,0.721,0.586,0.657,84.987,0.369,0.16
Days,The Drums,217,Dance,0.721,0.586,0.657,84.987,0.369,0.16
Days,The Drums,217,Indie,0.721,0.586,0.657,84.987,0.369,0.16
Days,The Drums,217,Children’s Music,0.721,0.586,0.657,84.987,0.369,0.16
Days,The Drums,217,Rock,0.721,0.586,0.657,84.987,0.369,0.16
Lightning Bolt,Jake Bugg,216,Indie,0.839,0.551,0.681,116.051,0.0818,0.0
McKenzie,Houndmouth,215,,,,,,,
Real Love Baby,Father John Misty,210,Folk,0.687,0.417,0.627,204.11,0.0955,0.0278
Real Love Baby,Father John Misty,210,Indie,0.687,0.417,0.627,204.11,0.0955,0.0278
Real Love Baby,Father John Misty,210,Pop,0.687,0.417,0.627,204.11,0.0955,0.0278
Real Love Baby,Father John Misty,210,Rock,0.687,0.417,0.627,204.11,0.0955,0.0278
Lenny Sinpablo Juliano 36th,The Growlers,210,,,,,,,
So Good,French Cassettes,207,,,,,,,
American Sports,Arctic Monkeys,206,Indie,0.865,0.372,0.594,176.689,0.00169,0.00293
American Sports,Arctic Monkeys,206,Rock,0.865,0.372,0.594,176.689,0.00169,0.00293
Can't Believe The Way We Flow,James Blake,205,R&B,0.536,0.259,0.29,143.948,0.705,0.000501
Can't Believe The Way We Flow,James Blake,205,Alternative,0.536,0.259,0.29,143.948,0.705,0.000501
Can't Believe The Way We Flow,James Blake,205,Indie,0.536,0.259,0.29,143.948,0.705,0.000501
Fuentes de Ortiz,Ed Maverick,205,,,,,,,
Better Man,Leon Bridges,204,Blues,0.746,0.395,0.671,188.267,0.219,0.0
Better Man,Leon Bridges,204,Soul,0.746,0.395,0.671,188.267,0.219,0.0
Trying Your Luck,The Strokes,204,Alternative,0.689,0.503,0.615,143.906,0.00855,0.0126
Trying Your Luck,The Strokes,204,Children’s Music,0.689,0.503,0.615,143.906,0.00855,0.0126
Trying Your Luck,The Strokes,204,Indie,0.689,0.503,0.615,143.906,0.00855,0.0126
Trying Your Luck,The Strokes,204,Rock,0.689,0.503,0.615,143.906,0.00855,0.0126
Feels Like We Only Go Backwards,Tame Impala,204,Rock,0.907,0.31,0.516,149.931,0.0453,0.369
Orpheus Under the Influence,The Buttertones,204,Indie,0.871,0.362,0.526,151.722,0.0365,0.000256
Orpheus Under the Influence,The Buttertones,204,Rock,0.871,0.362,0.526,151.722,0.0365,0.000256
This Charming Man - 2011 Remaster,The Smiths,200,Dance,0.846,0.611,0.751,103.912,0.00509,0.0
This Charming Man - 2011 Remaster,The Smiths,200,Indie,0.846,0.611,0.751,103.912,0.00509,0.0
This Charming Man - 2011 Remaster,The Smiths,200,Rock,0.846,0.611,0.751,103.912,0.00509,0.0
Under Control,The Strokes,200,Alternative,0.723,0.401,0.66,90.596,0.341,0.775
Under Control,The Strokes,200,Children’s Music,0.723,0.401,0.66,90.596,0.341,0.775
Under Control,The Strokes,200,Indie,0.723,0.401,0.66,90.596,0.341,0.775
Under Control,The Strokes,200,Rock,0.723,0.401,0.66,90.596,0.341,0.775
Road Head,Japanese Breakfast,199,Folk,0.674,0.54,0.165,95.036,0.0978,0.156
Road Head,Japanese Breakfast,199,Indie,0.674,0.54,0.165,95.036,0.0978,0.156
Road Head,Japanese Breakfast,199,Pop,0.674,0.54,0.165,95.036,0.0978,0.156
Road Head,Japanese Breakfast,199,Rock,0.674,0.54,0.165,95.036,0.0978,0.156
Tighten Up,The Black Keys,198,Alternative,0.705,0.504,0.567,108.965,0.00121,4.12e-06
Tighten Up,The Black Keys,198,Blues,0.705,0.504,0.567,108.965,0.00121,4.12e-06
Tighten Up,The Black Keys,198,Children’s Music,0.705,0.504,0.567,108.965,0.00121,4.12e-06
Tighten Up,The Black Keys,198,Indie,0.705,0.504,0.567,108.965,0.00121,4.12e-06
Tighten Up,The Black Keys,198,Rock,0.705,0.504,0.567,108.965,0.00121,4.12e-06
Take It or Leave It,Cage The Elephant,198,Blues,0.847,0.71,0.65,119.943,0.0289,0.000332
Take It or Leave It,Cage The Elephant,198,Children’s Music,0.847,0.71,0.65,119.943,0.0289,0.000332
Take It or Leave It,Cage The Elephant,198,Indie,0.847,0.71,0.65,119.943,0.0289,0.000332
Take It or Leave It,Cage The Elephant,198,Rock,0.847,0.71,0.65,119.943,0.0289,0.000332
Breezeblocks,alt-J,197,Indie,0.656,0.616,0.286,150.071,0.096,0.000879
Breezeblocks,alt-J,197,Rock,0.656,0.616,0.286,150.071,0.096,0.000879
The Next Time Around,Little Joy,195,Indie,0.605,0.748,0.964,120.019,0.844,0.0711
Joy Ride,The Killers,195,,,,,,,
Four Out Of Five,Arctic Monkeys,195,Indie,0.863,0.601,0.676,130.189,0.0626,0.0
Four Out Of Five,Arctic Monkeys,195,Rock,0.863,0.601,0.676,130.189,0.0626,0.0
Science Fiction,Arctic Monkeys,195,Indie,0.766,0.542,0.643,88.062,0.0295,0.0802
Science Fiction,Arctic Monkeys,195,Rock,0.766,0.542,0.643,88.062,0.0295,0.0802
Arabella,Arctic Monkeys,194,Indie,0.558,0.579,0.506,179.949,0.0202,1.26e-06
Arabella,Arctic Monkeys,194,Rock,0.558,0.579,0.506,179.949,0.0202,1.26e-06
Meet Me in the Bathroom,The Strokes,193,Alternative,0.94,0.426,0.595,139.952,6.7e-05,0.883
Meet Me in the Bathroom,The Strokes,193,Children’s Music,0.94,0.426,0.595,139.952,6.7e-05,0.883
"Kokomo, IN",Japanese Breakfast,192,,,,,,,
This Must Be the Place (Naive Melody) - 2005 Remaster,Talking Heads,191,,,,,,,
The Only One,The Black Keys,190,Alternative,0.653,0.434,0.625,105.09,0.693,0.0421
The Only One,The Black Keys,190,Blues,0.653,0.434,0.625,105.09,0.693,0.0421
The Only One,The Black Keys,190,Children’s Music,0.653,0.434,0.625,105.09,0.693,0.0421
The Only One,The Black Keys,190,Indie,0.653,0.434,0.625,105.09,0.693,0.0421
The Only One,The Black Keys,190,Rock,0.653,0.434,0.625,105.09,0.693,0.0421
The Hellcat Spangled Shalalala,Arctic Monkeys,190,Indie,0.872,0.449,0.788,130.22,0.000793,0.00062
Why Are Sundays So Depressing,The Strokes,190,,,,,,,
Two Princes,Spin Doctors,186,Alternative,0.912,0.543,0.836,103.731,0.00162,2.1e-06
Two Princes,Spin Doctors,186,Children’s Music,0.912,0.543,0.836,103.731,0.00162,2.1e-06
Two Princes,Spin Doctors,186,Pop,0.912,0.543,0.836,103.731,0.00162,2.1e-06
Two Princes,Spin Doctors,186,Rock,0.912,0.543,0.836,103.731,0.00162,2.1e-06
Ozma,Shannon & The Clams,186,,,,,,,
Henrietta,The Fratellis,186,Alternative,0.951,0.609,0.872,122.455,0.023,0.0
Henrietta,The Fratellis,186,Children’s Music,0.951,0.609,0.872,122.455,0.023,0.0
Henrietta,The Fratellis,186,Indie,0.951,0.609,0.872,122.455,0.023,0.0
Henrietta,The Fratellis,186,Rock,0.951,0.609,0.872,122.455,0.023,0.0
Trouble,Cage The Elephant,186,Blues,0.623,0.47,0.298,77.861,0.392,0.000453
Trouble,Cage The Elephant,186,Children’s Music,0.623,0.47,0.298,77.861,0.392,0.000453
Trouble,Cage The Elephant,186,Indie,0.623,0.47,0.298,77.861,0.392,0.000453
Trouble,Cage The Elephant,186,Pop,0.623,0.47,0.298,77.861,0.392,0.000453
Trouble,Cage The Elephant,186,Rock,0.623,0.47,0.298,77.861,0.392,0.000453
No Buses,Arctic Monkeys,186,Indie,0.524,0.481,0.425,101.883,0.155,0.000147
No Buses,Arctic Monkeys,186,Rock,0.524,0.481,0.425,101.883,0.155,0.000147
Good For It,French Cassettes,183,,,,,,,
She's Long Gone,The Black Keys,183,Alternative,0.866,0.349,0.488,167.951,0.0361,0.0406
She's Long Gone,The Black Keys,183,Blues,0.866,0.349,0.488,167.951,0.0361,0.0406
She's Long Gone,The Black Keys,183,Children’s Music,0.866,0.349,0.488,167.951,0.0361,0.0406
She's Long Gone,The Black Keys,183,Indie,0.866,0.349,0.488,167.951,0.0361,0.0406
She's Long Gone,The Black Keys,183,Rock,0.866,0.349,0.488,167.951,0.0361,0.0406
Unknown Brother,The Black Keys,183,Alternative,0.552,0.5,0.209,83.81,0.466,0.00221
Unknown Brother,The Black Keys,183,Blues,0.552,0.5,0.209,83.81,0.466,0.00221
Unknown Brother,The Black Keys,183,Children’s Music,0.552,0.5,0.209,83.81,0.466,0.00221
Unknown Brother,The Black Keys,183,Indie,0.552,0.5,0.209,83.81,0.466,0.00221
Unknown Brother,The Black Keys,183,Rock,0.552,0.5,0.209,83.81,0.466,0.00221
Junk Of The Heart (Happy),The Kooks,183,Indie,0.894,0.604,0.901,145.014,0.0212,0.0
Junk Of The Heart (Happy),The Kooks,183,Rock,0.894,0.604,0.901,145.014,0.0212,0.0
